,Time,BIS,TOL,MAP,CO,u_propo,u_remi,u_nore,x_propo_1,x_propo_2,x_propo_3,x_propo_4,x_propo_5,x_propo_6,x_remi_1,x_remi_2,x_remi_3,x_remi_4,x_remi_5,x_nore,blood_volume
0,1,97.44239153451701,2.1317809375534193e-31,88.44355345648114,6.468609657174316,1.3888888888888888,1.3888888888888888,0,0.07300269971311789,4.267272000945915e-05,3.1936011816978507e-06,0.0001041935826025022,5.730761592934541e-05,6.316726847413619e-05,0.3066626589711794,0.0006085510926669353,0.00013203771865302557,0.007955604662784593,0.0011543976848039659,0.0,19.004445408804
1,2,97.49168058424543,2.063774960033313e-27,85.36263293023212,6.66601142449674,1.3888888888888888,1.3888888888888888,0,0.14584642623594016,0.0001705004744426027,1.2764757405748681e-05,0.00041607547538282747,0.0002289441449410937,0.0002523399698311769,0.6091827488591978,0.002420018287088984,0.0005256179539981934,0.03113278343642485,0.004585224689058528,0.0,19.004445408804
2,3,97.56286410970083,5.045812159674641e-25,99.8744088243989,6.464247886979697,1.3888888888888888,1.3888888888888888,0,0.2185315685527638,0.0003831982463564529,2.8699024174672783e-05,0.0009346004713148593,0.0005144810724408145,0.0005670255932974421,0.9076228647043281,0.005413372305435536,0.0011769842918433707,0.06853943011297609,0.010244559190506888,0.0,19.004445408804
3,4,97.67343631917294,2.686356731702089e-23,84.16476522280385,6.5451491705416895,1.3888888888888888,1.3888888888888888,0,0.2910585146619753,0.0006804818057483103,5.0981992231591106e-05,0.0016587274524495947,0.000913491165742666,0.001006733151720209,1.2020446402532325,0.009567912885716363,0.0020824369035104436,0.11923753877758415,0.018085304882470638,0.0,19.004445408804
4,5,97.73873059170145,6.140168484558565e-22,83.89569683461544,6.568737515317633,1.3888888888888888,1.3888888888888888,0,0.3634276515785779,0.001062067707485797,7.95992874710263e-05,0.0025874193754442834,0.0014255484705130964,0.0015709731772298688,1.4925087627546174,0.014863263705048084,0.0032383316777937435,0.1823403785377269,0.028061177624308663,0.0,19.004445408804
5,6,97.67821398888994,8.168101001064319e-21,94.97331869928915,6.622030797770141,1.3888888888888888,1.3888888888888888,0,0.43563936533671244,0.0015276732892422673,0.00011453657084993235,0.003719643257140037,0.0020502283072240854,0.00225925771691395,1.7790749875270908,0.021279367381108874,0.004641079366276337,0.25700981399328965,0.04012669230217319,0.0,19.004445408804
6,7,97.5517725900099,7.446506667788039e-20,87.30843594091193,6.422760959857097,1.3888888888888888,1.3888888888888888,0,0.5076940409921717,0.002077016669437572,0.00015577953829895217,0.005054370160187756,0.0027871072676159026,0.003071100328502975,2.061802152302737,0.02879648055057749,0.006287144741798529,0.34245376395673605,0.05423714989678943,0.0,19.004445408804
7,8,97.37561331296888,5.132608860087545e-19,91.63298100950662,6.415920888435799,1.3888888888888888,1.3888888888888888,0,0.5795920626249086,0.002709816745184162,0.0002033139206339026,0.006590575178722209,0.0036357632111693517,0.004006016076068127,2.340748191349854,0.03739516902337129,0.008173045769876083,0.4379237913172253,0.07034862475503605,0.0,19.004445408804
8,9,97.24079748583117,2.851009382248288e-18,85.16988377703011,6.43290141885931,1.3888888888888888,1.3888888888888888,0,0.651333813341537,0.0034257931902385214,0.0002571254834674862,0.008327237424084125,0.004595775261587486,0.00506352152573068,2.6159701493782572,0.04705630301151613,0.010295352792868813,0.5427128173073764,0.08841795206215342,0.0,19.004445408804
9,10,97.05033851741585,1.3335270404639562e-17,96.22518666825165,6.336563691591184,1.3888888888888888,1.3888888888888888,0,0.7229196752778273,0.004224666452957909,0.00031720002712122905,0.010263340010590124,0.005666723803286758,0.006243134741383176,2.887524195230502,0.05776105243149897,0.01265068772670322,0.6561529537775029,0.1084027155114559,0.0,19.004445408804
10,11,96.842731346283,5.4206139793618964e-17,92.5609968003183,6.576315948830859,1.3888888888888888,1.3888888888888888,0,0.7943500296011948,0.005106157754262403,0.0003835233865376447,0.012397870041350342,0.0068481904778975875,0.007544375280422312,3.155465635362308,0.0694908822789718,0.015235723269955904,0.7776134474105006,0.13026123516847263,0.0,19.004445408804
11,12,96.63851388594425,1.9603273099697612e-16,93.55096622793485,6.572958915399212,1.3888888888888888,1.3888888888888888,0,0.8656252565131819,0.006069989085602223,0.00045608143119262257,0.0147298185941336,0.00813975818077432,0.008966764189493496,3.4198489271154475,0.08222754807469282,0.018047182125107482,0.9064987301220778,0.15395255552648898,0.0,19.004445408804
12,13,96.40399695151513,6.421492293408778e-16,81.96932267611056,6.465795358319981,1.3888888888888888,1.3888888888888888,0,0.9367457352519338,0.007115883206930337,0.0005348600650080411,0.017258180707279955,0.009541011057514549,0.010509824000247062,3.68072769178628,0.09595309138060805,0.021081836231779585,1.0422465701865302,0.17943643375050766,0.0,19.004445408804
13,14,96.0645757060622,1.932285192165736e-15,93.14528202704832,6.543249084721298,1.3888888888888888,1.3888888888888888,0,1.0077118440946682,0.008243563644680315,0.0006198452262646053,0.01998195536566047,0.011051534500487783,0.012173078725106095,3.9381547274930853,0.11064983538499328,0.0243365060117705,1.1843263189086162,0.20667332810669464,0.0,19.004445408804
14,15,95.50460422524696,5.401363861168656e-15,87.84837058002054,6.424813385977828,1.3888888888888888,1.3888888888888888,0,1.078523960360138,0.009452754689749423,0.0007110228875149061,0.022900145486684093,0.012670915145373423,0.013956053853045833,4.1921820218452925,0.12630038055559312,0.027808059625707773,1.332237247928044,0.23562438657442059,0.0,19.004445408804
15,16,94.96606715952345,1.4154146584185426e-14,92.07931648938113,6.292857163516646,1.3888888888888888,1.3888888888888888,0,1.1491824604110883,0.01074318139548697,0.0008083790554967047,0.02601175790635142,0.014398740867708036,0.01585827634538463,4.442860764417654,0.14288760035971015,0.031493412241138975,1.485506972495394,0.266251435638053,0.0,19.004445408804
16,17,94.40373999940746,3.503195379068035e-14,87.33844939422966,6.486761334846561,1.3888888888888888,1.3888888888888888,0,1.2196877196567069,0.012114569575687843,0.0009118997710464366,0.029315803365355268,0.01623460077944189,0.01787927463158646,4.690241359032369,0.16039463705021328,0.03538952531188444,1.6436899562976541,0.2985169692556984,0.0,19.004445408804
17,18,93.71072345728734,8.240550231133953e-14,93.65651783508766,6.56400705490247,1.3888888888888888,1.3888888888888888,0,1.2900401125550682,0.013566645802591268,0.00102157110901294,0.03281129649522786,0.01817808522550475,0.020018578605074864,4.934373435852109,0.17880489751645035,0.039493405868478715,1.8063660936386199,0.33238413800213773,0.0,19.004445408804
18,19,92.74719677799773,1.8520105939383816e-13,97.20768190261533,6.61223750761813,1.3888888888888888,1.3888888888888888,0,1.3602400126155711,0.015099137404884753,0.0011373791781714019,0.03649725580453447,0.02022878578038086,0.022275719619058405,5.175305863286868,0.19810204919906543,0.04380210581952994,1.9731393649948288,0.36781673838324,0.0,19.004445408804
19,20,91.45914990071851,3.994566691405897e-13,89.8463577185044,6.363548737716459,1.3888888888888888,1.3888888888888888,0,1.4302877924013706,0.016711772465713204,0.001259310121137528,0.04037270366511341,0.02238629524469315,0.024650230482367527,5.413086759717487,0.21827001606773738,0.04831272126382902,2.1436365621720572,0.4047792023191817,0.0,19.004445408804
20,21,90.0082062387415,8.300473875763182e-13,91.28706849311213,6.478186156487097,1.3888888888888888,1.3888888888888888,0,1.5001838235318032,0.01840427982069321,0.0013873501142819304,0.044436666298362154,0.024650207641796602,0.027141645455302836,5.647763505038692,0.23929297466087002,0.053022391813043204,2.3175060794812805,0.4432365867938409,0.0,19.004445408804
21,22,88.45982297449201,1.6671928748016424e-12,85.11460561310206,6.5512035210292385,1.3888888888888888,1.3888888888888888,0,1.5699284766848052,0.020176389055932487,0.001521485367644735,0.04868817376156953,0.027020118214380745,0.02974950024549472,5.879382752024411,0.2611553501862808,0.05792829992483108,2.494416767536908,0.48315456366777637,0.0,19.004445408804
22,23,86.83636566364443,3.2461994122059455e-12,90.11605057929744,6.534834668522759,1.3888888888888888,1.3888888888888888,0,1.6395221215993268,0.02202783050605444,0.0016617021248504082,0.053126259934293756,0.029495623421081304,0.03247333200377433,6.107990437518118,0.2838418126819482,0.06302767024621847,2.6740568464545973,0.5244994096522398,0.0,19.004445408804
23,24,85.16586022147011,6.142885902324436e-12,88.36121649148691,6.455369615871172,1.3888888888888888,1.3888888888888888,0,1.708965127077738,0.023958335252227857,0.0018079866630228015,0.05774996250478621,0.03207632093310092,0.035312679320055856,6.333631793450888,0.30733727323589355,0.06831776896707736,2.8561328753914603,0.5672379964417128,0.0,19.004445408804
24,25,83.47359857385662,1.1322667161526121e-11,84.20003107300798,6.525145141343099,1.3888888888888888,1.3888888888888888,0,1.778257860988229,0.025967635120201716,0.0019603252927004136,0.06255832295646074,0.034761809630838955,0.03826708221923011,6.556351357689822,0.3316268802642862,0.07379590318355232,3.040368775528507,0.6113377810024939,0.0,19.004445408804
25,26,81.82693230880005,2.036876959786097e-11,89.78502313608666,6.486920210245369,1.3888888888888888,1.3888888888888888,0,1.8474006902672049,0.028055462678345088,0.0021187043577518693,0.0675503865544085,0.03755168960053033,0.041336082157069305,6.776192984719454,0.356696015846876,0.07945942027128107,3.2265049037441385,0.6567667960149051,0.0,19.004445408804
26,27,80.1475639512819,3.582508192135689e-11,95.53596886065513,6.454878995878086,1.3888888888888888,1.3888888888888888,0,1.9163939809216732,0.03022155123569214,0.0022831102352916166,0.07272520233195792,0.04044556213089344,0.04451922201614311,6.993199856158703,0.3825302921188702,0.08530570726825877,3.4142971743688135,0.7034936404667192,0.0,19.004445408804
27,28,78.40612484797506,6.170235258932273e-11,93.98573362392693,6.3523764717084115,1.3888888888888888,1.3888888888888888,0,1.9852380980316262,0.03246563483999216,0.0024535293355958357,0.07808182307728,0.04344302970978698,0.047816046101745835,7.20741449111591,0.4091155477183859,0.0913321902671973,3.6035162265450857,0.7514874703954522,0.0,19.004445408804
28,29,76.7059761045748,1.0421361210377719e-10,90.21095344768582,6.492584243053566,1.3888888888888888,1.3888888888888888,0,2.053933405752417,0.034787448275764694,0.002629948102018571,0.08361930532003836,0.04654369602087585,0.05122610013783482,7.4188787563844585,0.43643784428862165,0.09753633381723337,3.7939466348443878,0.8007179897771945,0.0,19.004445408804
29,30,75.14400723263947,1.7282673016003396e-10,94.06363141193255,6.312825992367786,1.3888888888888888,1.3888888888888888,0,2.122480267317128,0.03718672706235972,0.002812353010908069,0.08933670931808432,0.04974716594030594,0.05474893126297993,7.62763387648142,0.4644834630339067,0.10391564033484153,3.9853861609125834,0.8511554415597002,0.0,19.004445408804
30,31,73.60113853312933,2.8174996726886474e-10,85.57263201907463,6.438619630552835,1.3888888888888888,1.3888888888888888,0,2.190879045038937,0.0396632074520228,0.003000730571523335,0.09523309904419666,0.05305304553338788,0.058384088026324166,7.833720443531642,0.4932389013287972,0.11046764952381069,4.1776450440307915,0.9027705988374779,0.0,19.004445408804
31,32,72.16257379329595,4.520014558287538e-10,88.71508980166965,6.46111855265253,1.3888888888888888,1.3888888888888888,0,2.259130100313471,0.04221662642796533,0.0031950673259509045,0.1013075421728658,0.056460942051289695,0.062131120383555304,8.037178426999674,0.5226908693794035,0.11718993780414397,4.370545328586541,0.9555347561666713,0.0,19.004445408804
32,33,70.84893578138967,7.142571214331202e-10,88.64265740304711,6.515653481721025,1.3888888888888888,1.3888888888888888,0,2.3272337936211627,0.044846721702439744,0.0033953498490218287,0.10755911006712257,0.05997046392773831,0.06598957969288861,8.238047183271854,0.5528262869361434,0.12408011774974521,4.563920226553352,1.0094197210175464,0.0,19.004445408804
33,34,69.6755833806264,1.1127251832559109e-09,94.24490975007586,6.493501910034774,1.3888888888888888,1.3888888888888888,0,2.395190484529591,0.04755323171481971,0.0036015647482288654,0.11398687776541104,0.06358122077572997,0.06995901871106058,8.436365465090882,0.5836322800571313,0.13113583753475636,4.757613513174542,1.064397805362437,0.0,19.004445408804
34,35,68.57879269891714,1.7103607910520303e-09,82.63326301827377,6.500006458304605,1.3888888888888888,1.3888888888888888,0,2.4630005316958234,0.05033589562968536,0.00381369866364389,0.12058992396850568,0.0672928233842495,0.0740389915893336,8.632171430845123,0.6150961779214198,0.13835478038841276,4.951478954139774,1.1204418173970354,0.0,19.004445408804
35,36,67.41947375919725,2.5958134991782616e-09,86.56903967106292,6.529406612570076,1.3888888888888888,1.3888888888888888,0,2.5306642928687486,0.053194453334913384,0.004031738267835515,0.12736733102647235,0.07110488371499828,0.07822905386951155,8.825502653714928,0.6472055096913314,0.1457346640582852,5.145379762630797,1.1775250533929464,0.0,19.004445408804
36,37,66.16806007366253,3.892595281294016e-09,81.9934835441588,6.406267747158144,1.3888888888888888,1.3888888888888888,0,2.598182124891403,0.05612864543977221,0.0042556702657869224,0.13431818492567318,0.07501701489913111,0.0825287624799665,9.016396130678105,0.6799480014231202,0.15327324028177972,5.339188084696274,1.235621289679453,0.0,19.004445408804
37,38,64.83407416071279,5.771069998272556e-09,82.5399911309663,6.40180272310931,1.3888888888888888,1.3888888888888888,0,2.6655543837032942,0.05913821327302201,0.0044854813948139016,0.1414415752758152,0.07902883123400185,0.08693767573167602,9.20488829137677,0.7133115730252205,0.16096829426576767,5.5327845114947305,1.2947047747524794,0.0,19.004445408804
38,39,63.465614576801016,8.463999205724949e-09,98.34984162591502,6.2399141456203795,1.3888888888888888,1.3888888888888888,0,2.7327814243427135,0.06222289888101971,0.004721158424483103,0.14873659529704228,0.08313994817991767,0.09145535331427157,9.39101500684767,0.7472843352633514,0.1688176441742213,5.72605761701974,1.3547502215087628,0.0,19.004445408804
39,40,62.00101709436485,1.2286536703780489e-08,91.50472872458475,6.433486114961582,1.3888888888888888,1.3888888888888888,0,2.799863600949049,0.06538244502582885,0.004962688156530493,0.15620234180707088,0.08734998235690222,0.09608135629209766,9.574811598118117,0.7818545868117528,0.17681914062373133,5.918903519992705,1.4157327996032782,0.0,19.004445408804
